listing_id,price,room_type,property_type,property_base_group,accommodates,bedrooms,bathrooms,beds,amenities_count,minimum_nights,minimum_nights_log
22737747,2500.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,29,235,5.4638318050256105
22837365,2419.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,2.0,2.0,2.0,17,18,2.9444389791664403
23110790,1040.0,Entire home/apt,Entire rental unit,Apartment / Condo,6,0.0,1.0,2.0,21,1,0.6931471805599453
23115677,790.0,Entire home/apt,Entire condo,Apartment / Condo,4,1.0,1.0,3.0,25,1,0.6931471805599453
23117698,790.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,1.0,1.0,3.0,25,1,0.6931471805599453
23140183,934.0,Private room,Private room in rental unit,Apartment / Condo,3,0.0,1.0,2.0,21,1,0.6931471805599453
23224705,1093.0,Private room,Private room in bed and breakfast,Guesthouse / B&B,2,0.0,1.0,1.0,14,2,1.0986122886681098
23385215,5289.0,Entire home/apt,Entire rental unit,Apartment / Condo,6,2.0,2.0,2.0,45,21,3.091042453358316
23402126,4625.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,1.0,32,30,3.4339872044851463
23447374,1680.0,Private room,Private room in hostel,Hostel,4,0.0,1.0,4.0,16,2,1.0986122886681098
23752078,1594.0,Entire home/apt,Entire condo,Apartment / Condo,5,0.0,1.0,2.0,18,2,1.0986122886681098
23884907,5339.0,Entire home/apt,Entire townhouse,House / Home,14,6.0,6.5,7.0,61,2,1.0986122886681098
24000122,9300.0,Entire home/apt,Entire rental unit,Apartment / Condo,14,6.0,4.5,11.0,20,1,0.6931471805599453
24164241,1452.0,Entire home/apt,Entire condo,Apartment / Condo,3,1.0,1.0,3.0,39,7,2.0794415416798357
24326047,1205.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,2.0,40,3,1.3862943611198906
24406915,648.0,Private room,Private room in condo,Apartment / Condo,2,1.0,1.0,1.0,36,30,3.4339872044851463
24573474,708.0,Hotel room,Room in hostel,Hostel,2,1.0,1.0,1.0,14,1,0.6931471805599453
24636894,350.0,Shared room,Shared room in hostel,Hostel,12,1.0,3.0,12.0,18,1,0.6931471805599453
24875048,1649.0,Private room,Private room in bed and breakfast,Guesthouse / B&B,1,1.0,1.5,1.0,18,1,0.6931471805599453
